lang,orig_text,orig_translation
Ukrainian,"FINAL NOTICE Madam: You are owing $22.00 rent. Unless paid by tomorrow morning, we shall take possession.","ОСТАННЄ ПОПЕРЕДЖЕННЯ Пані, Ви винні $22 за квартиру Якщо Ви не заплатите до завтрашнішого ранку ми Вас виселим."
Ukrainian,"My name is Deems Taylor, and it's my very pleasant duty to welcome you here on behalf of Walt Disney, Leopold Stokowski and all the other artists and musicians whose combined talents went into the creation of this new form of entertainment, Fantasia.","Мене звати Дімс Тейлор, і я з великим задоволенням вітаю вас від імені Волта Діснея, Леопольда Стоковського і всіх інших художників і музикантів, поєднання талантів яких народило цей новий твір - Фантазію."
Ukrainian,What you're going to see are the designs and pictures and stories that music inspired in the minds and imaginations of a group of artists.,"Зараз ви побачите узори, картини і історії, що створені уявою групи художників під впливом музики."
Ukrainian,"In other words, these are not going to be the interpretations of trained musicians. Which I think is all to the good.","Це не буде новим тлумаченням музики музикантами, і для нас це тільки на краще."
Ukrainian,"Now, there are three kinds of music on this Fantasia programme.",У нашій Фантазії звучатиме три типи музики.
Ukrainian,First is the kind that tells a definite story.,"Перший тип - це музика, яка розповідає якусь історію."
Ukrainian,"Then there's the kind that, while it has no specific plot, does paint a series of, more or less, definite pictures.","Другий тип, хоч і не має певного сюжету, малює в уяві більш або менш чіткі картини."
Ukrainian,With the coming of the Second World War many eyes in imprisoned Europe turned hopefully or desperately toward the freedom of the Americas.,"Коли розпочалась Друга Світова Війна багато людей в окупованій Європі спрямували свої погляди з надією, або з відчаєм до свободи, яка панувала в Америці."
Ukrainian,But think of all those poor refugees who must rot here if I didn't help them.,"Але подумай про нещасних біженців, що згниють в цьому місті, якщо я їм не допоможу."
Ukrainian,"The point is, an enemy of the Reich has come to Casablanca and we are checking up on anyone who can be of any help.","Справа у тім, що до Касабланки прибув ворог Рейху. І ми перевіряємо кожного, хто може стати нам у нагоді."
Ukrainian,Are you one of those who can't imagine Germans in their beloved Paris?,"Чи належите ви до тих людей, що не можуть уявити німців в їхньому любому Парижі?"
Ukrainian,"Later on, we meet our old friend, Bacchus, the god of wine, presiding over a bacchanal. The party is interrupted by a storm.","Потім на екрані з'явиться Бахус, або Вакх, бог вина, що очолює вакханалію, яку зупиняє гроза."
Ukrainian,"And now, we see Vulcan forging thunderbolts and handing them over to the king of all the gods, Zeus, who plays darts with them.","Вулкан кує блискавки і передає їх головному богу Зевсу, який кидає їх униз, як дротики."
Ukrainian,"As the storm clears, we see Iris, the goddess of the rainbow. And Apollo, driving his sun chariot across the sky.","Коли буря стихає, з'являється Ірида, богиня райдуги, і Аполон на своїй сонячній колесниці."
Ukrainian,"And then Morpheus, the god of sleep, covers everything with his cloak of night, as Diana, using the new moon as a bow, shoots an arrow of fire that spangles the sky with stars.","Потім Морфей, бог сну, накриває усе покровом ночі, а Діана, стріляючи з молодого місяця, як із лука, випускає вогняну стрілу, яка запалює небо зірками."
Ukrainian,"Before we get into the second half of the programme, I'd like to introduce somebody to you, somebody who's very important to Fantasia.","Перш, ніж ми почнемо другу частину нашої програми, я б хотів представити вам декого, хто грає ключову роль у нашій Фантазії."
Ukrainian,He's very shy and very retiring.,Вона дуже скромна і сором'язлива.
Ukrainian,I just happened to run across him one day at the Disney studios.,Лише один раз я бачив її у студії Діснея.
Ukrainian,"But when I did, I suddenly realised that here was not only an indispensable member of the organisation, but a screen personality whose possibilities nobody around the place had ever noticed.","Але побачивши її, я зрозумів, що вона не просто ключовий член команди, а й сценічний персонаж з недооціненими можливостями."
Ukrainian,And so I'm very happy to have this opportunity to introduce to you the soundtrack. All right.,"Отже, я з задоволенням представляю вам... звукову доріжку!"
Ukrainian,"It was as if my great rush of anger had washed me clean, purged me of hope, and staring up at that night sky, for the first time I opened my heart to the sweet indifference of the universe, and I felt that it was so much like myself, almost like a brother, that I realised that I'd been happy, and that I was happy still.","Так ніби мій спалах гніву очистив мене, очистив від надії, і, дивлячись у нічне небо, я уперше відкрив своє серце солодкій байдужості всесвіту і відчув, що він так на мене схожий, майже брат, і я усвідомив, що був щасливим,"
Ukrainian,"American and Israeli search and rescue vessels today came across debris and oil slicks from the missing submarine. It's being said in Washington that the Los Angeles was on a routine reconnaissance mission off Iran when she sank last Tuesday with a loss of all hands. After paying tribute to her 127 officers and men, the President said he held the Soviet Union responsible for their deaths and for the vessel's disappearance.",Пошуково-рятувальні судна США та Ізраїлю сьогодні натрапили на уламки та нафтову пляму від зниклого підводного човна. коли минулого вівторка раптом затонув з усім екіпажем. що він змусить Радянський
Ukrainian,"No news teams have been allowed in or out since phone and telex links were cut. This morning the Foreign Secretary said he had no definite news to report and that it would be unhelpful to speculate without any hard information. There's been a run on tinned food, sugar and other storable items, which is causing shortages in some areas.",Репортерським командам було заборонено перетинати кордон одразу після зникнення телефонного зв'язку. і було б нечемно висловлювати міркування при відсутності фактів. що в деяких регіонах викликало дефіцит.
Ukrainian,"In response to today's news of the outbreak of hostilities between vessels of the United States and Soviet navies, a special session of Parliament has passed an emergency powers act. There will be a special announcement at the end of this bulletin and details will be given then of how this affects you.",У відповідь на сьогоднішні новини про початок бойових дій позачергова сесія парламенту прийняла акт про надзвичайні повноваження. як це на вас вплине.
Ukrainian,"Emergency headquarters like this have been hastily improvised in the basements of town halls and civic centres. The time has now come to make everything ready for you and your family in case an air attack happens. This does not mean that war is bound to come, but there is a risk of this and we must all be prepared for it.",Подібні надзвичайні штаби поспіхом створювалися у підвалах міської мерії та громадських будівель. якщо станеться повітряна атака. і ми повинні до неї підготуватися.
Ukrainian,"If anyone dies while you are kept in your fall-out room, move the body to another room in the house, label the body with name and address and cover it as tightly as possible in polythene, paper, sheets or blankets. If, however, you have had a body in the house for more than five days and if it is safe to go outside, then you should bury the body for the time being in a trench or cover it with earth and mark the spot of the burial.",08.00 додайте напис з ім'ям та адресою простирадла чи ковдри. або закидати землею та позначити місце поховання.
Ukrainian,"With the pyrethrum you kill the roaches right there in front of God and the client whereas this starch and fluoride... leave it around, the roaches eat it... come back a few days later, they're running around fat as hogs. And there it is, Bill. You want to put on some weight, you gotta switch from that yellow powder diet of yours to some of this good fluoride stuff right here.",З піретрумом ви вбиваєте тарганів прямо на місці перед обличчям Бога та клієнта в той час як цей крохмаль та фторид... таргани жеруть... як свині. потрібно замінити дієту з твого жовтого порошку... як ось цей фторид.
Ukrainian,"""Followers of obsolete, unthinkable trades... doodling in Etruscan... addicts of drugs not yet synthesized... black marketeers of World War III... excisors of telepathic sensitivity... osteopaths of the spirit... investigators... of infractions denounced... by bland, paranoid chess players... servers of fragmentary warrants taken down... in hebephrenic shorthand... charging unspeakable mutilations of the spirit... officials of unconstituted police states, broke...""",немислимих професій які машинально пишуть на етруській залежні від ще не синтезованих наркотиків чорні продавці Третьої світової війни каменотеси телепатичної чутливості остеопати духу слідчі... що викривають злочини спокійних параноідальних шахістів рознощики уривчастих ордерів заповнених шизофренічною стенографією заряджені невимовним каліцтвом духу... торг...'
Ukrainian,"If you look carefully at my lips you'll realize that I'm actually saying something else. I'm not actually telling you about the several ways I'm gradually murdering Joan, about the housekeeper Fadela, whom I've hired to make Joan deathly ill by witchcraft, about the medicines and drugs I've given her, about the constant nibbling away at her self-esteem and sanity",то зрозумієш що насправді я сказав щось інше. щоб та зробила Джоан смертельно хворою... про постійне розкльовування її почуття власної гідності та здорового глузду що мені вдалося зробити зовсім неочевидним.
Ukrainian,"Finally, it talked all the time, day and night. You could hear him for blocks, screaming at it to shut up, beating at it with his fists and sticking candles up it, but... nothing did any good, and the asshole said to him, ""It is you who will shut up in the end, not me, because we don't need you around here anymore.",і вночі. бив її кулаками пхав у неї свічки... тому що ти мені більше не потрібен.
Ukrainian,"I'm going to quit... and I told Dom, too... because they've moved my desk four times already this year... and I used to be over by the window... and I could see the squirrels, and they were married... but then they switched from the Swingline... to the Boston stapler, but I kept my Swingline stapler... because it didn't bind up as much... and I kept the staples for the Swingline stapler.","Я і Дому говорив також ... бо вони пересували мій стіл вже чотири рази за цей рік ... а мені потрібно бути навпроти вікна ... щоб я міг бачити білок ... але потім вони перейшли зі Свінглайнівських... на степлер Бостон, але я зберіг свій Свінглайн ... тому що він не зминає папір ... і я зберіг скріпки для Свінлглайна."
Ukrainian,"And in the normal light, you would see that... but when the lights were turned off... it turned out it was painted with phosphorescent paint... and so suddenly it came to life with different colors... and you really felt as if you were under the sea at night... surrounded by the other creatures of the sea.","За день ви звикали до того, як це виглядає,.. але ось наступала ніч... і виявлялося, що все це намальовано фосфоритними фарбами. І, ось, раптом, виявлялися абсолютно інші кольори... і вам справді здавалося, що ви перебуваєте на дні нічного моря... в оточенні інших риб."
Ukrainian,"I retitled it, actually, Pas de Deux... because what happens there is that although you see only one dancer... the camera is as partner to that dancer... and carries him or accelerates him... as a partner would do to the ballerina... making possible progressions and movements... that are impossible to the individual figure.","Я б це назвала па-де-де (Балетний номер, виконуваний двома партнерами) тому що, незважаючи на те, що ви бачите одного танцюриста,.. камера виступає в ролі його партнера - підкидає або додає прискорення - як це робить партнер балерини, роблячи можливими певні рухи, які не під силу здійснити поодинці."
Ukrainian,"I mean, how did the people who she was connected with... how could they open up so easily to a foreigner... somebody that they didn't know... and somebody who was supposed to be a... you know, who comes, as you were saying before... a white person coming to learn about the culture of the black people?","Тобто, як люди, з якими вона спілкувалася,.. як вони так просто відкрилися іноземці,.. комусь абсолютно їм незнайомій... комусь, кого зазвичай ""зустрічають по одягу"", як... ну, ви знаєте, ви про це говорили вже,.."
Ukrainian,"And indeed I found out from the Chinese boy who performed the movements here... that this school of boxing, Wu Tang... is based on The Book of Change... and that its theory is that... life is an ongoing process, constantly... and that it is based on a negative-positive... with constantly a resolution into another negative and positive and so on.","І мені дійсно відкрив це китаєць, який тут рухався... це бойове мистецтво, Ву Танг,.. бере початок у ""Книзі змін""... чиє вчення говорить, що... життя - це безперервний поступальний процес... і що він базується на запереченні-затвердження... з постійним поділом на наступні заперечення і твердження і т. д."
spanish,"They're on a five-day shoot-out - a photographic exploration of the Misissippi Delta in Memphis, one of the most iconic cities in the American south, but the things that catch their eyes aren't the ones the average tourists would choose.","Están en una exploración fotográfica de cinco días por Memphis, en el Delta del Misissippi, una de las ciudades más icónicas en el sur de EE.UU., pero las cosas que capturan su mirada no son las mismas que el turista promedio escoge."
spanish,"Fuelled by existential restlessness, baby boomer wanderlust and cheap petrol, the photographers set out for new territories to see what these worlds looked like photographed and this is what they discovered.","Impulsados por la inquietud existencial, la pasión de viajar de los baby boomer, y el petróleo barato, los fotógrafos salieron por nuevas tierras para ver cómo lucían estos mundos al ser fotografiados y esto es lo que descubrieron."
spanish,"Around the same time, the Bisson Brothers employed 25 porters to haul their equipment up the face of Mont Blanc, processing fragile, glass plate negatives in a dark room tent thousands of feet above sea level.","Más o menos por la misma época, los hermanos Bisson usaron 25 porteadores para subir su equipo hasta la cara del Mont Blanc, procesos delicados usando negativos en placas de vidrio, y cuartos oscuros en carpas a miles de pies de altura."
spanish,"They say that Timothy O'Sullivan was a master at profanity and I can believe it, the actual physical work of getting out is often fairly arduous, it involves a scramble, it involves risking snakes and swatting at the bugs.","Dicen que Timothy O'Sullivan era un maestro de la blasfemia y lo puedo creer, frecuentemente el trabajo físico de salir es arduo e involucra una lucha, el riesgo de las serpientes, aplastar bichos."
spanish,"He doesn't give a damn if the verticals are straight up and down, because he's standing in the middle of the picture he takes off, and Jackson Pollock stands in the middle of the paintings he makes too.","Le importaba un comino si las verticales estaban derechas de arriba hacia abajo, porque él estaba en el medio de las fotografías que tomaba, tal como Jackson Pollock estaba en el medio de las pinturas que hacía."
spanish,"I didn't really dig the French photography, you know, all these photographers now everybody reveres like Doisneau and even Cartier-Besson, completely chic and polite and sentimental, romantic and humanistic.","A mí en verdad no me gustaba la fotografía francesa, tú sabes, todos esos fotógrafos que todos veneran, como Doisneau o Cartier-Bresson, completamente elegantes y amables y sentimentales, románticos y humanísticos."
spanish,"At that time, I was interested in capturing an event because I didn't know any better and that was the language of the period... something happened in space and time, you try to be there and make an interesting shape, any picture about it.","En ese tiempo, yo estaba interesado en capturar un evento porque no conocía nada mejor, y ese era el lenguaje del período... Algo ocurre en el espacio y el tiempo, tratas de estar ahí y de obtener una imagen interesante, alguna foto de eso."
spanish,"For example, this is a catch picture, walking on the Pont Neuf or something like that and a man is walking his black and white Capuchin monkey and a woman's coming along with her...in black and white of all things... with her baby in there and the two of them are seeing each other.","Por ejemplo, esta es un imagen capturada, caminando en Pont Neuf o algo así. Un hombre va con su mono capuchino blanco y negro y una mujer se acerca a él... con todas esas cosas en blanco y negro... con su bebe ahí. Y los dos se quedan viéndose el uno al otro."
spanish,"He was always obsessed. When I first met Garry, what I remember is sitting there, after he handed me these pictures he was smoking, he was drinking and he was shaking and tap, tap, tap - his feet were tapping on a chair, and his knees were shaking.","La primera vez que me encontré con Garry, que yo recuerde estaba sentado allí, luego de darme las fotos, fumando, bebiendo y sacudiéndose... y, tap, tap, tap, su pie golpeando en una silla y sus rodillas moviéndose."
spanish,"But left to its own devices, the camera can be nothing more than a slack-jawed dumb recorder of whatever is put in front of it, which is precisely what Ed Ruscha allowed it to be in a series of seminal books he produced in the 1960s,","Pero dejada a su suerte, la cámara puede no ser nada más que un tonto grabador de cualquier cosa que se le ponga en frente, lo que precisamente Ed Ruscha le permitía ser en una serie de libros seminales que editó en los 60,"
spanish,"But then as I started seriously working as an artist, travelling was essential, so I was continuously driving back and forth on US 66 between here and Oklahoma when I would take all these gasoline stations.","Pero entonces, cuando empecé a trabajar seriamente como artista, viajar era esencial, siempre estaba conduciendo ida y vuelta por la U.S.66, entre acá y Oklahoma donde hice todas estas fotos de estaciones de gasolina."
spanish,"I was met with a little bit of scepticism from some people and usually those people were like... more intellectual, and a lot of those people...uh...were, would have this impression from this little product, that I was putting them on.","Me encontré con un poco de escepticismo de algunas personas. Usualmente personas que eran... más intelectuales, y muchas de esas personas... Uh... tendrían esa impresión, de que era un producto insignificante lo que les estaba mostrando."
spanish,"When Eggleston returned to Dunkirk to open an exhibition devoted to his work, it was a chance for critics and journalists to see if they could turn the pure gold of his pictures into the hard currency of words and explanations.","Cuando Egglestone regresó a Dunquerque, para abrir una exhibición dedicada a su trabajo, fue oportunidad para que críticos y periodistas vieran si podían convertir el oro puro de sus fotografías en la moneda dura de palabras y explicaciones."
spanish,"People before us have translated that word, or transcribed it, I should say, as margarita, which can mean pearls or pearl mica, which is abundant in the deserts of Arizona and New Mexico and they've used this to support the northern route.","Anteriormente, las personas han traducido esa palabra... o la transcribieron, diría, como margarita... que puede significar perlas o mica de perlas... y que es abundante en los desiertos de Arizona y Nuevo México. Y la usaron para sostener la idea de la ruta del norte."
spanish,"In 1550, the King's counsellors gathered here in Valladolid to listen to two great figures of the age, the Dominican Las Casas, speaking for the Indians, and the philosopher Sepulveda, for the mission of imperial Spain,","En 1550, los consejeros del Rey se reunieron aquí, en Valladolid... para escuchar a dos grandes figuras de la época. Al dominico Las Casas, hablando en favor de los indios... y al filosofo Sepulveda, a favor de la misión de la España Imperial."
spanish,"Sepulveda concluded by saying this - that human beings are not equal, that some are superior to others and that the inhabitants of the New World were natural slaves because they were barbarous and inhumane.","Sepulveda concluyó diciendo... que los seres humanos no eran iguales, que algunos eran superiores a otros... y que los habitantes del Nuevo Mundo eran esclavos por naturaleza... porque eran bárbaros e inhumanos."
spanish,"The last of the great Inca heroes, they say, stood on top of these rocks armed with a European sword, throwing the Spanish off, killing members of his own side if they thought of surrendering to the Spaniards.","El último de los grandes héroes Incas, dicen, estaba de pie en lo alto de estas rocas, armado con una espada europea, confundiendo a los españoles, matando a sus compañeros si se les ocurría rendirse al enemigo."
spanish,"In the end, when it was clearly all hopeless, he threw his weapons down, stuffed his mouth with earth, scourged his face and threw himself off the rocks in fulfilment of his vow that he would die rather than give in to the Spanish.","Al final, cuando comprendió que no había ninguna esperanza, arrojó sus armas al suelo, se llenó la boca de tierra, se araño la cara y se despeñó contra las rocas, cumpliendo el juramento de que moriría antes que rendirse a los españoles."
spanish,"They brought all their most sacred relics here from Cuzco - the mummies of the last of the dead Incas, and above all the most sacred relic, the golden image that symbolised the rising sun in whose chest was a heart made of dough made from the powder of the hearts of the dead Incas.","Aquí trajeron todas sus reliquias más sagradas, las momias de los últimos Incas muertos, y lo más sagrado de todo, la imagen dorada que simbolizaba el sol naciente en cuyo pecho había un corazón hecho de masa proveniente del polvo de los corazones de los Incas muertos."
spanish,"The history of photography is made up of journeys great and small, some as epic as a continent, some no longer than a city street... ..but few have been as influential as one taken by Robert Frank.","La historia de la fotografía está hecha de viajes grandes y pequeños, algunos tan épicos como un continente, algunos no mayores que la calle de una ciudad... pero pocos han sido tan influyentes como el que hizo Robert Frank."
spanish,"Born in switzerland to Jewish parentage, Robert Frank brought an outsider's perspective to bear when he embarked on a nine month road trip of his adopted home in 1956.","Nacido en Suiza, de familia judía, Robert Frank trajo la perspectiva del forastero cuando se embarcó en un viaje de nueve meses por su hogar adoptivo en 1956."
spanish,Frank got a Guggenheim Fellowship to travel around the United States and document the kind of culture that he saw evolving here which he believed was spreading elsewhere.,Frank obtuvo una beca Guggenheim para viajar por los Estados Unidos y documentar la cultura que -estaba viendo- evolucionaba acá y que él creía se estaba difundiendo por otros lugares.
spanish,"He started in New York, travelled south to South Carolina, then onto Texas, to California, then back to Chicago, and finally ending up back in New York.","Comenzó en Nueva York, viajó al sur a Carolina del Sur, luego a Texas, a California, luego de vuelta a Chicago, y finalmente regresó a Nueva York."
spanish,"There was a continuity to the way he travelled - it's not the hop, skip and jump of the world travelling Cartier-Bresson.","Hubo una continuidad en la forma en que viajó, no es el salto tras salto de los viajes por el mundo de Cartier-Bresson."
spanish,"Frank's journey produced the photographic equivalent of the great American novel, laying bare the anxieties that the chrome and the advertising jingles obscured.","El viaje de Frank produjo el equivalente fotográfico de la gran novela americana, mostrando las ansiedades que el cromo y los avisos publicitarios oscurecían."
spanish,"Though he'd been trained in a Swiss tradition that aspired to photographic perfectionism, Frank's free-wheeling odyssey echoed the spontaneity of abstract expressionist art and beat poetry.","Aunque fue entrenado en la tradición suiza que aspiraba a la perfección fotográfica, la odisea despreocupada de Frank repetía la espontaneidad del expresionismo abstracto y de la poesía beat."
spanish,"Again it's the kind of zeitgeist of abstract expressionism, that freedom, that release from the conventions of picture making that were earlier is there with Frank.","Una vez más, este es el espíritu de la época del expresionismo abstracto. Esa libertad que liberaba de las convenciones al crear imágenes, estaba ahí con Frank."
spanish,"Kerouac described it, I think, what he did - he called Frank's qualities agility, mystery, sadness, genius and secret strangeness.","Kerouac lo describió, pienso, él describió las cualidades de Frank como agilidad, misterio, tristeza, genio y extrañeza escondida."
spanish,"He brought his final selection to the french publisher Robert Delpire, and they designed a photo book that would become one of the foundation stones of modern photography.","Llevó su selección final al editor francés Robert Delpire, y diseñaron un fotolibro que se convertiría en una de las piedras fundamentales de la fotografía."
spanish,"As there were no double page spreads, just one picture after the other, we quickly agreed how the photos should be displayed, and that's how we did it.","Como no hubo doble página, sólo una imagen después de la otra, rápidamente acordamos cómo deberían mostrarse las fotos, y así fue que hicimos."
russian,"And, like, you know, when you're sitting around with your friends playing video games and it's fun, but if you munch a nice, big PBJ first, it's even awesomer.","Знаете, когда сидишь с друзьями, играешь в видеоигры и тебе весело. А если перед этим слопать такой сладкий бутер, тогда вообще классно."
russian,"So, anyway, my cousin's best friend's older brother's girlfriend's sister is gonna be bringing some by this afternoon, and I know it sounds a little stupid, but I'm kind of nervous to pick them up myself.","Так вот сестра подружки старшего брата лучшей подруги моей двоюродной сестры принесёт их после обеда. Я знаю, как глупо это звучит, но я боюсь забирать их сама."
russian,"Nick's always told us none of us can get involved with the peanut racket, and there's no way I'm going to betray Nick for a kiss on the cheek for a lousy seven seconds.","Ник всегда твердит, чтобы никто из нас не связывался с арахисовым бизнесом. И я ни за что не предам Ника за поцелуй в щёчку на вшивые семь секунд."
russian,"It says so right here, but I took some home and set the table with them, and my mom freaked out and sent me to my room, and her boyfriend even kept laughing!","Тут так написано. Но когда я принёс их домой и накрыл на стол, мама рассердилась и отослала меня в комнату. А её приятель даже смеялся."
russian,"Yeah, but now that we're running it, we can do it right, with epi-injector sites and fair prices, because the way Frankie and Mickey were doing it, someone was bound to get hurt, and not just the allergic kids.","Но теперь этим занимаемся мы, и всё пойдёт как надо: с пунктом выдачи антиаллергенных препаратов и честными ценами. У Френки с Микки всё было поставлено так, что кто-то должен был пострадать."
russian,"Maybe to adults it looks like we're just running around, playing whatever we want to, wherever we want to, running all around the yard, willy-nilly without barriers or boundaries.","Взрослым наверно кажется, что мы просто наворачиваем круги, играем во всё подряд, бегаем где хотим по всему двору сломя голову без барьеров и границ."
russian,"Frankie, on my father's life, Until you realize our right to share the soccer pitch, we will continue to sting you, and sting you like a swarm of killer bees. Okay, okay, come on, come on.","Френки, своим отцом клянусь тебе пока ты не поделишься правами на футбольное поле, мы будем продолжать жалить тебя, жалить как рой пчёл-убийц."
russian,"We call him ""the bladder"", because his bladder is the size of a camel's hump, and he has been eating nothing but asparagus for the past four days and drinking gallons w water.",Мы зовём его Пузырь. Потому что его мочевой пузырь размером с горб верблюда. И кроме лука он ничего не ел последние четыре дня.
russian,"You see, we were concerned, because a few of your guys got roughed up in that last game, and so, for your own protection, we talked to the teachers, and they said that from now on, in order to avoid any more injuries, everyone has to wear protective equipment.","Видишь ли, мы были обеспокоены, что некоторые твои люди покалечились в прошлой игре, и теперь, для вашей же безопасности, мы обсудили это с учителями, и они решили, что отныне во избежание возможных травм, все обязаны одевать защитную экипировку."
russian,"At the end of season one, she found out that Scott's a werewolf, but they've already got such good history with each other, that she's very accepting of it. ♪ If it is hard to bear ♪","В конце первого сезона, она узнает, что Скотт оборотень, но между ними уже была хорошая история, и она очень хорошо приняла это."
russian,"They want to try to keep the relationship going as much as they can, but they know that it's going to be tricky because Allison's situation with her family. The Argents hunt werewolves.","Они хотят попытаться сохранить отношения на сколько смогут, но они знают, что это будет сложно из-за обстановки в семье Элисон."
russian,"Scott can respect their situation, and knows that, you know, the offer at hand of them becoming a werewolf sounds like a really cool thing, but knows that it just is not. It'll mess up their life.","Скотт понимает их ситуацию, и знает, что предложение стать оборотнем звучит очень круто, но он знает, что это не так."
russian,"So the idea of eliminating a threat quickly, even if it means, you know, someone getting hurt, I think his mentality is that that's better than letting something spiral out of control to where you can't contain it anymore. They're not here to scare us, okay?","Поэтому для него главное устранить угрозу быстро, даже если это означает, что кто-то пострадает, и лучше уж это, чем позволить чему-то выйти из-под контроля там, где вы не сможете больше его сдерживать."
russian,"When Allison's father tells her that she's going to be the leader of her family, I think she's probably slightly intimidated by that, but also, I think, a little challenged.","Когда отец Элисон сказал ей, что она станет лидером их семьи, думаю, это её немного напугало, но также, немного изменило."
russian,"They've had some, you know, misunderstandings and trust issues, but I think that is what, you know, makes Scott and Allison so great to watch, because they overcome all these odds.","Не мешайся! У них есть проблемы с доверием и недопонимание, но я думаю именно поэтому так приятно наблюдать за Скоттом и Элисон потому, что они преодолевают все трудности."
russian,"That scene was added, and I think that scene is so important to understand Allison's mind-set moving forward, because you see her as this, you know, this sort of sweet, naive girl, and then something massive happens. And then it's, you know...","Эту сцену добавили, и я считаю, что эта сцена очень важна для понимания дальнейшего образа мышления Элисон, вы видите ее там, такую милую наивную девушку, а затем случается что-то грандиозное."
russian,"If this were my mother, if these words were written for me, any pity I'd have for Derek and his pack would be burned out by a white-hot desire for retribution.","если бы она была моей матерью, если бы эти слова были написаны для меня, жалость, которую я испытываю к Дереку и его стае, сгорит раскаленным желанием возмездия."
russian,"There was always this perplexed look on my face because she had no idea what was going on throughout all of these different scenarios of seeing ghosts and are they ghosts or are they, you know, just hallucinations of her own mind?","Всегда был этот озадаченный взгляд на моем лице, потому, что она понятия не имела, что происходит во всех этих видениях, где она видит призраков, и призраки ли они, или они просто ее галлюцинации."
